1 75,5 Moscow 2023-10-01 10:30:00
2 68,2 Paris 2023-10-01 11:45:00
3 80,1 New_York 2023-10-01 09:15:00
4 72,3 London 2023-10-01 12:00:00
5 65,4 Tokyo 2023-10-01 14:30:00
6 78,9 Moscow 2023-10-01 16:00:00
7 67,8 Paris 2023-10-01 10:30:00
8 82,5 New_York 2023-10-01 11:45:00
9 74,6 London 2023-10-01 09:15:00
10 66,7 Tokyo 2023-10-01 12:00:00
11 79,3 Moscow 2023-10-01 14:30:00
12 69,1 Paris 2023-10-01 16:00:00
13 81,4 New_York 2023-10-01 10:30:00
14 73,5 London 2023-10-01 11:45:00
15 67,2 Tokyo 2023-10-01 09:15:00
16 76,8 Moscow 2023-10-01 12:00:00
17 68,9 Paris 2023-10-01 14:30:00
18 83,2 New_York 2023-10-01 16:00:00
19 75,7 London 2023-10-01 10:30:00
20 69,8 Tokyo 2023-10-01 11:45:00
21 77,4 Moscow 2023-10-01 09:15:00
22 67,3 Paris 2023-10-01 12:00:00
23 84,1 New_York 2023-10-01 14:30:00
24 71,2 London 2023-10-01 16:00:00
25 66,5 Tokyo 2023-10-01 10:30:00
26 79,8 Moscow 2023-10-01 11:45:00
27 69,6 Paris 2023-10-01 09:15:00
28 82,3 New_York 2023-10-01 12:00:00
29 73,4 London 2023-10-01 14:30:00
30 68,1 Tokyo 2023-10-01 16:00:00
31 77,9 Moscow 2023-10-01 10:30:00
32 67,7 Paris 2023-10-01 11:45:00
33 83,5 New_York 2023-10-01 09:15:00
34 72,8 London 2023-10-01 12:00:00
35 66,3 Tokyo 2023-10-01 14:30:00
36 78,6 Moscow 2023-10-01 16:00:00
37 68,4 Paris 2023-10-01 10:30:00
38 81,7 New_York 2023-10-01 11:45:00
39 74,2 London 2023-10-01 09:15:00
40 67,5 Tokyo 2023-10-01 12:00:00
